Assembly,Quantity,Part,Link,Price
Aircraft,1,FPV quadcopter frame,https://www.aliexpress.us/item/3256811569379527.html,$17.06
Aircraft,1,Flight-controller and ESC stack,https://www.aliexpress.us/item/3256808946065124.html,$49.63
Aircraft,3,Brushless motor,https://www.aliexpress.us/item/3256812458735650.html,$46.02 used (3 of 4-pack at $61.36)
Aircraft,1,Brushless motor,https://www.aliexpress.us/item/3256804750595457.html,$12.87
Aircraft,1 set,Propellers,https://www.aliexpress.us/item/2255801043927518.html,$15.25 (12-pair pack; includes spares)
Aircraft,2,Flight battery,https://www.aliexpress.us/item/3256812540292605.html,$30.34 used (2 at $15.17 each)
Aircraft,1,Parallel battery harness,https://www.aliexpress.us/item/3256807605726245.html,$1.77
Aircraft,1,Drone ESP32 board,https://www.aliexpress.us/item/3256808984038785.html,$4.84
Aircraft,4,Claw servo,https://www.aliexpress.us/item/3256809795714797.html,$3.63 used (4 of 5-pack at $4.54)
Aircraft,1,Servo regulator,https://www.aliexpress.us/item/3256806558389509.html,$1.46
Aircraft,1,Servo-rail capacitor,https://www.aliexpress.us/item/3256806095708994.html,$0.05 used (1 of 20-pack at $0.99)
Aircraft,1,Camera module,https://www.aliexpress.us/item/3256810060131517.html,$25.90
Aircraft,1 set,Claw parts and mounts,https://www.aliexpress.us/item/3256806989098121.html,$2.54 estimated material used (250 g of $10.14/kg PLA)
Aircraft,As needed,Power and signal wiring,https://www.aliexpress.us/item/3256809610137308.html,$5.49 allowance
Aircraft,As needed,Connectors and hardware,https://www.aliexpress.us/item/3256804089626824.html,$3.81 assortment kit
Controller,1,Primary control board,https://www.aliexpress.us/item/3256805910466139.html,$4.35
Controller,1,Controller ESP32 board,https://www.aliexpress.us/item/3256808984038785.html,$4.84
Controller,1,TFT touch display,https://www.aliexpress.us/item/2255800128937536.html,$10.87
Controller,2,Joystick module,https://www.aliexpress.us/item/3256809884616435.html,$1.15 used (2 of 10-pack at $5.76)
Controller,10,Momentary pushbutton,https://www.aliexpress.us/item/3256801710165519.html,$3.32 (10-pack)
Controller,1,Controller battery,https://www.aliexpress.us/item/3256809090690409.html,$4.24
Controller,1,Boost converter,https://www.aliexpress.us/item/3256810344563800.html,$0.99
Controller,1,Battery charger and protection board,https://www.aliexpress.us/item/3256808777213556.html,$0.20 used (1 of 5-pack at $0.99)
Controller,1,Main power switch,https://www.aliexpress.us/item/3256807619399290.html,$0.16 used (1 of 10-pack at $1.64)
Controller,1,Bulk capacitor,https://www.aliexpress.us/item/2251832671851361.html,$0.10 used (1 of 10-pack at $0.99)
Controller,1,Decoupling capacitor,https://www.aliexpress.us/item/3256811560978404.html,$0.01 used (1 of 100-pack at $0.99)
Controller,1,Controller enclosure,https://www.aliexpress.us/item/3256806989098121.html,$3.04 estimated material used (300 g of $10.14/kg PLA)
Controller,As needed,Wiring and hardware,https://www.aliexpress.us/item/3256809610137308.html,$5.49 allowance
